datetime,price
Thu Feb  8 15:37:07 2018,23753.56
Thu Feb  8 15:43:04 2018,23924.0
Thu Feb  8 15:47:04 2018,23955.14
Thu Feb  8 15:53:06 2018,24012.58
Thu Feb  8 15:57:06 2018,24112.21
Thu Feb  8 16:03:04 2018,24160.08
Thu Feb  8 16:07:04 2018,24152.72
Thu Feb  8 16:13:06 2018,24101.38
Thu Feb  8 16:17:06 2018,24255.29
Thu Feb  8 16:23:04 2018,24221.38
Thu Feb  8 16:27:04 2018,24264.67
Thu Feb  8 16:33:06 2018,24352.97
Thu Feb  8 16:37:07 2018,24320.24
Thu Feb  8 16:43:05 2018,24208.61
Thu Feb  8 16:47:04 2018,24172.41
Thu Feb  8 16:53:06 2018,24040.92
Thu Feb  8 16:57:06 2018,24047.41
Thu Feb  8 17:03:04 2018,24084.11
Thu Feb  8 17:07:04 2018,24112.94
Thu Feb  8 17:13:07 2018,24219.23
Thu Feb  8 17:17:06 2018,24143.35
Thu Feb  8 17:17:06 2018,24143.35
Thu Feb  8 17:23:16 2018,23976.3
Thu Feb  8 17:27:16 2018,23942.06
Thu Feb  8 17:33:12 2018,23965.83
Thu Feb  8 17:37:12 2018,23985.83
Thu Feb  8 17:43:13 2018,24051.22
Thu Feb  8 17:45:11 2018,24043.62
